Name,ID,Distributor,Worldwide Gross Revenue (sus),Domestic Opening,Domestic Gross,China Opening,China Gross,UK Opening,UK Gross,France Opening,France Gross,Germany Opening,Germany Gross,Italy Opening,Italy Gross,Spain Opening,Spain Gross,Japan Opening,Japan Gross,South Korea Opening,South Korea Gross,Australia Opening,Australia Gross,Russia/CIS Opening,Russia/CIS Gross,India Opening,India Gross
Avatar: The Way of Water,/title/tt1630029/?ref_=sr_t_1,20th Century Studios,"$2,320,250,281","$134,100,226","$684,075,767","$56,798,896","$245,996,272","$13,590,332","$93,320,842","$13,922,403","$157,099,579","$16,837,927","$148,204,213","$8,991,132","$48,025,161","$7,967,393","$54,533,887","$4,727,204","$32,525,343","$19,266,473","$108,045,923","$9,855,736","$63,840,735",unknown,unknown,"$19,153,502","$59,554,397"
Puss in Boots: The Last Wish,/title/tt3915174/?ref_=sr_t_2,Universal Pictures,"$481,080,374","$12,429,515","$185,535,345","$350,222","$6,865,487","$5,952,350","$30,918,836","$3,387,317","$23,460,953","$1,105,424","$19,340,851","$1,360,115","$6,431,285","$592,829","$11,776,830","$433,343","$1,834,292","$1,932,887","$6,376,812","$112,910","$15,131,903",unknown,"$237,493","$211,656","$458,969"
Babylon,/title/tt10640346/?ref_=sr_t_3,Paramount Pictures,"$63,351,455","$3,603,368","$15,351,455",unknown,unknown,"$1,640,861","$4,838,305","$3,348,177","$13,001,491",unknown,"$2,625,363",unknown,"$2,628,568","$712,416","$2,476,862",unknown,"$2,268,792","$536,603","$1,584,325",unknown,"$2,807,787",unknown,unknown,unknown,unknown
A Man Called Otto,/title/tt7405458/?ref_=sr_t_4,Columbia Pictures,"$113,190,218","$56,257","$64,267,657",unknown,unknown,"$1,316,253","$5,762,972","$415,041","$703,583","$740,776","$3,051,703","$46,262","$1,675,337","$332,191","$2,594,147","$327,369","$327,369","$90,008","$249,929","$326,239","$5,186,036",unknown,unknown,unknown,unknown
M3GAN,/title/tt8760708/?ref_=sr_t_5,Universal Pictures,"$179,973,454","$30,429,860","$95,043,350","$1,623,380","$3,251,874","$2,881,336","$8,865,482","$1,396,239","$3,774,829","$1,493,354","$4,763,123","$927,531","$2,469,019","$863,899","$3,844,268","$1,045,845","$4,179,863","$690,608","$1,884,356","$1,341,599","$4,577,272",unknown,"$6,123","$87,765","$219,017"
The Pale Blue Eye,/title/tt14138650/?ref_=sr_t_6,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Black Panther: Wakanda Forever,/title/tt9114286/?ref_=sr_t_1,Walt Disney Studios Motion Pictures,"$859,208,836","$181,339,761","$453,829,060","$5,966,548","$15,587,441","$14,626,605","$40,951,853","$11,552,767","$33,169,637","$5,671,721","$17,884,616","$3,509,138","$8,795,100","$2,934,014","$7,860,275","$3,547,975","$8,953,041","$6,507,394","$16,720,631","$6,277,374","$19,821,022",unknown,unknown,"$6,426,863","$11,053,533"
Violent Night,/title/tt12003946/?ref_=sr_t_2,Universal Pictures,"$76,004,405","$13,450,240","$50,057,405",unknown,unknown,"$1,011,016","$4,582,350","$576,634","$1,798,266","$471,761","$1,735,231","$219,216","$524,024","$215,304","$771,996","$157,552","$429,217",unknown,unknown,"$447,367","$1,788,374",unknown,unknown,"$24,269","$35,327"
Black Adam,/title/tt6443346/?ref_=sr_t_1,Warner Bros.,"$393,252,111","$67,004,323","$168,152,111",unknown,unknown,"$6,392,000","$24,285,586","$3,841,654","$15,410,861","$2,645,922","$10,574,530","$1,960,590","$5,312,207","$2,146,622","$7,156,826","$857,033","$2,720,986","$2,341,595","$6,033,725","$4,764,010","$13,177,263",unknown,unknown,"$3,500,000","$7,200,000"
Pinocchio,/title/tt1488589/?ref_=sr_t_2,unknown,"$109,846",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"$19,653","$37,353",unknown,unknown,unknown,unknown,unknown,unknown
Talk to Me,/title/tt10638522/?ref_=sr_t_3,A24,"$91,937,138","$10,431,720","$48,299,436",unknown,unknown,"$827,074","$3,162,402","$1,131,694","$3,936,900","$311,970","$1,355,868","$779,401","$2,309,160","$467,374","$2,601,492",unknown,unknown,"$486,161","$1,089,541","$579,940","$2,810,470","$398,242","$1,679,574",unknown,"$283,884"
Enola Holmes 2,/title/tt14641788/?ref_=sr_t_4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Glass Onion: A Knives Out Mystery,/title/tt11564570/?ref_=sr_t_1,Netflix,"$13,280,000","$9,400,000","$13,280,000",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The Menu,/title/tt9764362/?ref_=sr_t_2,Searchlight Pictures,"$79,628,200","$9,004,957","$38,501,125",unknown,unknown,"$1,108,239","$4,963,012","$734,836","$2,896,967","$677,926","$3,312,473","$688,206","$2,202,864","$330,750","$1,563,039","$249,311","$1,281,366","$91,153","$244,239","$485,618","$3,262,619",unknown,unknown,"$25,883","$40,337"
The Banshees of Inisherin,/title/tt11813216/?ref_=sr_t_3,Searchlight Pictures,"$49,262,687","$184,454","$10,582,266",unknown,unknown,"$1,763,935","$11,579,680","$557,341","$3,066,621","$640,960","$4,178,533","$765,484","$2,433,431","$302,245","$1,082,846","$285,242","$1,089,544","$51,549","$203,815","$449,202","$3,889,500",unknown,unknown,unknown,unknown
The Whale,/title/tt13833688/?ref_=sr_t_4,A24,"$54,883,206","$332,152","$17,463,630",unknown,unknown,"$750,521","$3,004,140","$354,427","$837,827","$325,782","$1,170,208","$634,212","$3,809,924","$437,495","$2,097,850",unknown,unknown,"$85,912","$411,773","$300,847","$1,517,349",unknown,unknown,"$23,196","$71,495"
Smile,/title/tt15474916/?ref_=sr_t_5,Paramount Pictures,"$217,408,513","$22,609,925","$105,935,048",unknown,unknown,"$2,078,021","$13,144,628","$109,124","$9,584,694","$1,337,974","$11,985,605","$345,920","$2,087,480","$554,016","$5,618,602",unknown,unknown,"$300,557","$792,612","$712,034","$5,453,146",unknown,unknown,unknown,"$39,120"
Don't Worry Darling,/title/tt10731256/?ref_=sr_t_6,Warner Bros.,"$87,609,403","$19,353,213","$45,309,403",unknown,unknown,"$3,010,028","$11,298,526","$855,969","$2,419,970","$612,086","$2,663,732","$935,003","$1,983,791","$459,817","$1,438,976","$91,000","$91,000",unknown,unknown,"$1,359,226","$5,282,699",unknown,unknown,unknown,unknown
Brahmastra Part One: Shiva,/title/tt6277462/?ref_=sr_t_7,Walt Disney Studios Motion Pictures,"$50,164,785","$4,543,659","$7,839,108",unknown,unknown,"$599,076","$1,156,232",unknown,unknown,unknown,unknown,"$7,836","$7,836","$12,415","$12,415",unknown,unknown,unknown,unknown,"$618,267","$1,164,526",unknown,unknown,"$17,839,686","$38,313,879"
The Fabelmans,/title/tt14208870/?ref_=sr_t_8,Universal Pictures,"$45,631,458","$161,579","$17,348,945","$186,357","$316,083","$1,321,674","$4,277,062","$2,022,124","$6,836,610","$532,671","$1,708,136","$328,187","$3,440,121","$466,004","$1,922,779","$437,201","$1,516,956","$211,238","$628,300","$288,654","$1,088,255","$5,756","$14,550","$28,556","$63,537"
