Stars,Years Active,Tenure
Brad Pitt,1987–present,36
Tom Hanks,1977–present,46
Jennifer Lopez,1986–present,37
Naomi Ackie,2009–present,14
Kristine Hartgen,0,0
Andrew Callaghan,2019–present,4
Elisha Bascomb,0,0
Sam Worthington,2000–present,23
Antonio Banderas,1982–present,41
Allison Williams,2004–present,19
Christian Bale,c.1982–present,41
Ine Marie Wilmann,0,0
Will Smith,1985–present[1],38
Zoey Deutch,2009–present,14
Asa Butterfield,2006–present,17
Jim Parsons,1993–present,30
Jake Gyllenhaal,1991–present,32
Ajay Devgn,1991–present,32
Amy Adams,1994–present,29
Justin Hartley,2002–present,21
Peter Billingsley,1973–present,50
Allison Janney,1989–present,34
Aimee Garcia,1996–present,27
Luke Evans,2000–present,23
Letitia Wright,2011–present,12
David Harbour,1994–present,29
Will Ferrell,1991–present,32
Nanoka Hara,2009–present,14
Jason Momoa,1999–present,24
Lindsay Lohan,1989–present,34
Sharon Feldstein,0,0
Raquelle Stevens,0,0
Hugh Laurie,1981–present,42
Holly Mae Brood,0,0
Dwayne Johnson,1996–2019 (wrestling)1999–present (acting),24
Ewan McGregor,1992–present,31
Ari McCarthy,0,0
Millie Bobby Brown,2013–present,10
Kit Young,2008–present,15
Jacqueline Byers,2003–present,20
Russell Crowe,1985–present,38
Emily Tennant,2000–present,23
Mel Gibson,1976–present,47
Mira Sorvino,1985–present,38
Jamie Lee Curtis,1977–present,46
Donald Sutherland,1957–present,66
Zoe Kazan,2003–present,20
Alisha Weir,2017–present,6
Danielle Deadwyler,2008–present,15
Javier Bardem,1990–present,33
Maika Monroe,2009–present,14
Marlon Wayans,1988–present,35
LeBron James,0,0
Fawad Khan,2002–20042007–present,18
Kaitlyn Dever,2009–present,14
Anson Mount,1999–present,24
Mark Inman,0,0
Shannyn Sossamon,1997–present,26
Eva Green,2001–present,22
Jamie Bernadette,2007–present,16
Hannah John-Kamen,2011–present,12
Riley Dandy,0,0
Josh Duhamel,1999–present,24
Scott Adkins,1998–present,25
Toni Collette,1990–present,33
Candace Owens,2017–present,6
Sosie Bacon,2005–present,18
Mila Kunis,1994–present,29
Bette Midler,1965–present,58
Camila Mendes,2016–present,7
Odessa A&apos;zion,2011−present,0
Jon Hamm,1996–present,27
Grace Byers,2012–present,11
Kid Cudi,2003–present,20
Naomi Watts,1986–present,37
Sheri Moon Zombie,1996–present,27
Kaley Cuoco,1992–present,31
Ed Skrein,2004–present,19
Liam Neeson,1976–present,47
Nick Blood,2009–present,14
Elsie Fisher,2007–present,16
Daniel Craig,1992–present,31
Ralph Fiennes,1985–present,38
Colin Farrell,1997–present,26
Brendan Fraser,1990–present,33
Florence Pugh,2014–present,9
Amitabh Bachchan,1969–present,54
Michelle Williams,1993–present,30
Cate Blanchett,1990–present,33
Mia Goth,2012–present,11
Eddie Redmayne,1998–present,25
Ana de Armas,2006–present,17
Viola Davis,1988–present,35
Jorma Tommila,1987–present,36
Kieran Hodgson,2014–present,9
George Clooney,1978–present,45
Timothée Chalamet,2007–present,16
Joseph Gordon-Levitt,1988–present,35
Rooney Mara,2005–present,18
Diedrich Bader,1988–present,35
Matthias Schweighöfer,1997–present,26
Billy Eichner,2005–present,18
Ricardo Darín,1967–present,56
Jonathan Majors,2017–present,6
Zac Efron,2002–present,21
Olivia Colman,1999–present,24
