Name,Estimated Budget,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD
'71,0.0,1658167.09,72755.46,3995447.74
'83,0.0,4302649.69,1795652.82,7798740.61
(500) Days of Summer,11344422.94,48994859.49,1262257.64,91966126.86
0.45,8264238.16,0.0,0.0,283197.26
1,4031749.14,10598.12,10598.12,2251571.97
1 Buck,1671673.22,0.0,0.0,0.0
1/1,0.0,0.0,0.0,0.0
10 Cloverfield Lane,18448107.98,88652995.38,30411628.53,135553005.37
10 Items or Less,0.0,133657.6,57655.5,2245340.55
10 Minutes Gone,0.0,0.0,0.0,374491.67
10 Years,0.0,281515.79,31431.8,395868.74
"10,000 BC",163586578.74,147670696.77,55880377.62,420314994.67
10.000 Km,0.0,16209.2,11665.98,290351.18
100 Bloody Acres,0.0,8584.94,4594.85,8584.94
100 Days to Live,0.0,0.0,0.0,0.0
100 Feet,15579674.17,0.0,0.0,2205776.5
100 Streets,3689621.6,0.0,0.0,380.03
100 Things,0.0,0.0,0.0,16338109.76
10th &amp; Wolf,12837651.51,87780.65,33336.17,230196.74
11'09''01 - September 11,0.0,236322.52,13107.64,2355250.13
11-11-11,0.0,46723.61,46723.61,9928816.32
11:14,10521036.32,0.0,0.0,6682246.84
12 Feet Deep,0.0,0.0,0.0,0.0
12 Hour Shift,0.0,7452.4,2766.78,7452.4
12 Mighty Orphans,0.0,3914335.89,266889.55,3939433.6
12 Rounds,33276973.95,18506072.43,8060953.67,26138043.55
12 Rounds 2: Reloaded,5375665.52,0.0,0.0,0.0
12 Strong,40574592.6,53117605.37,18333948.47,78087762.63
12 Years a Slave,26878327.59,76162419.64,1241395.72,252297725.11
12 and Holding,661139.05,159440.29,18935.02,197011.17
127 Hours,25663695.96,26141653.79,377614.2,86599001.08
13 Beloved,196688868.24,0.0,0.0,599545.69
13 Cameras,0.0,0.0,0.0,0.0
13 Going on 30,64879723.96,100356214.79,36918812.68,169135648.54
13 Hours,61493693.27,65002792.75,19917485.02,85367229.93
