Name,Worldwide Gross Revenue (sus),Domestic Opening,Domestic Gross,China Opening,China Gross,UK Opening,UK Gross,France Opening,France Gross,Germany Opening,Germany Gross,Italy Opening,Italy Gross,Spain Opening,Spain Gross,Japan Opening,Japan Gross,South Korea Opening,South Korea Gross,Australia Opening,Australia Gross,Russia/CIS Opening,Russia/CIS Gross,India Opening,India Gross
(500) Days of Summer,91966126.86,22789221.33,48994859.49,0.0,0.0,0.0,11490927.84,0.0,5573613.31,0.0,1503669.98,0.0,622780.08,0.0,2332119.91,0.0,4518229.54,0.0,2294931.38,0.0,9948886.48,0.0,6518422.23,0.0,446032.46
10 Cloverfield Lane,135553005.37,30411628.53,88652995.38,0.0,0.0,2851802.0,8740889.43,0.0,3306972.17,714977.33,1642256.72,194183.55,194183.55,525776.0,1483240.18,0.0,0.0,1646344.82,3106329.32,1352997.77,3755341.14,949094.89,1611151.98,0.0,0.0
12 Strong,78087762.63,18333948.47,53117605.37,0.0,0.0,660057.04,1439076.46,436164.12,682984.0,309850.77,450398.84,321469.02,973458.67,286330.26,1055523.68,933498.49,2270534.49,1156520.8,1992605.49,834294.77,1923770.11,111805.03,172537.08,128432.5,216029.56
12 Years a Slave,252297725.11,179947.72,76162419.64,0.0,0.0,0.0,44364223.84,0.0,155160.52,0.0,9998248.68,0.0,8892806.23,0.0,11183496.91,0.0,0.0,0.0,186911.89,0.0,0.0,0.0,0.0,0.0,0.0
127 Hours,86599001.08,377614.2,26141653.79,0.0,0.0,4808419.94,17841810.63,2131318.62,4127663.31,998081.1,2542463.86,629184.0,1295032.87,1129472.09,3064886.89,668623.4,668623.4,816675.84,1701545.82,1712249.0,5118987.73,549807.62,1291826.33,758690.14,1392798.72
13 Going on 30,169135648.54,39894875.43,100356214.79,0.0,0.0,0.0,16389202.19,0.0,5643352.37,0.0,8588335.97,0.0,823025.6,0.0,1167117.85,0.0,13297301.08,0.0,4416957.25,0.0,7084699.27,0.0,2069337.04,0.0,127662.25
13 Hours,85367229.93,19917485.02,65002792.75,0.0,0.0,417472.07,417472.07,482397.12,837802.38,381034.6,634543.58,190950.22,190950.22,332845.68,715614.41,0.0,0.0,702212.47,1233012.5,533718.52,1184304.58,207813.02,364027.91,0.0,0.0
1408,213367251.42,33085302.99,115515800.77,0.0,0.0,3475288.66,10540685.95,1952808.99,4827066.09,1971271.14,8052540.47,3149982.58,8894358.24,3329125.58,9305609.2,705599.05,2814042.1,1242729.6,2800824.13,1169737.92,4408707.89,2169157.11,6172277.05,0.0,56569.11
16 Blocks,108533778.63,19594938.42,60982046.44,0.0,2918072.74,2349519.6,7027170.96,0.0,2427001.79,1010863.43,3018754.3,732852.81,1368149.59,1114997.79,3904640.97,935116.73,2585759.46,1349624.47,2607605.15,569683.69,1254870.02,288144.23,815715.02,0.0,0.0
17 Again,206191512.01,35882122.36,97058449.24,0.0,0.0,5693616.13,27775895.37,4268717.28,12840310.65,2171041.21,8404589.85,1225120.54,3344957.56,1334666.82,2911458.42,327604.25,808125.26,0.0,0.0,3413400.73,15246450.65,1023419.72,2885927.41,0.0,0.0
1917,420240372.7,629646.78,173992345.75,5748491.45,10711944.87,10550471.5,62435466.05,4275205.88,18481233.84,1885461.1,10155887.79,2596953.13,8019664.41,2012674.19,11687238.68,2519828.46,8268200.8,1847293.24,7214439.35,3604462.73,17262114.38,1946061.55,4873293.61,361646.74,1917126.14
2 Fast 2 Furious,426875584.15,79543739.58,229655895.24,0.0,0.0,0.0,22625178.92,0.0,34177203.64,0.0,18755404.98,0.0,6497631.46,0.0,12150308.1,0.0,121929888.55,0.0,0.0,0.0,22310093.78,0.0,23154346.03,0.0,3901250.84
2 Guns,177316879.44,36365208.02,101616823.48,0.0,0.0,2990428.97,9277451.22,1548119.1,3945462.99,2003138.27,7888351.03,1804777.56,3779892.49,1563981.34,4180117.51,601614.92,2456157.7,18097.18,62363.1,242759.68,6258886.02,2636108.11,5467158.0,132276.31,227127.24
2012,1196787953.73,2488969.42,251259556.98,0.0,136415277.59,0.0,46969176.64,0.0,0.0,0.0,57033882.11,0.0,31895953.81,0.0,34171791.78,0.0,0.0,0.0,4563891.6,0.0,1504480.73,0.0,0.0,0.0,65441338.32
21,248976233.36,37556273.74,126443646.22,0.0,0.0,5059882.45,17002575.16,3182182.72,10018040.52,3301181.83,11875045.76,1776509.74,6118469.89,2965505.29,10657170.17,1657772.37,6328728.5,584650.64,1209738.33,2295523.21,7328164.6,3458200.02,7439355.17,0.0,441370.61
21 Grams,106029033.08,38145348.08,28565448.27,0.0,0.0,0.0,7839127.72,0.0,6171054.23,0.0,1790815.4,0.0,9731255.44,0.0,9735537.5,0.0,2976225.82,0.0,0.0,0.0,6515295.53,0.0,1760698.93,0.0,0.0
21 Jump Street,279041238.86,8626318.47,191643949.98,0.0,0.0,0.0,22211105.24,0.0,5543874.65,0.0,4603830.35,0.0,86862.06,0.0,1916099.44,0.0,2109702.54,0.0,3923356.21,0.0,0.0,0.0,4138233.6,0.0,0.0
22 Jump Street,432315556.3,74465291.0,250150249.74,0.0,0.0,10645438.25,41088070.85,2385024.91,5966427.67,5358870.48,19329058.69,310282.89,943747.66,931835.08,4101095.22,0.0,0.0,0.0,0.0,8436928.28,27401188.04,5348609.74,12483572.7,302699.55,620970.26
25th Hour,25389517.15,2201292.18,13881446.84,0.0,0.0,0.0,997778.57,0.0,6766039.34,0.0,559368.01,0.0,4289319.49,0.0,0.0,0.0,29051616.64,0.0,0.0,0.0,1182.9,0.0,0.0,0.0,0.0
