IMDB Ratings,IMDB Score,Content Rating,Date Released,year,month,day of the week,Genres,Genre A,Genre B,Genre C,Keywords,Keyword 1,Keyword 2,Keyword 3,Stars,Star 1,Star 2,Star 3,Directors,Director 1,Director 2,Director 3,Writers,Writer 1,Writer 2,Writer 3,Runtime,Nominations,Awards,Estimated Budget,Budget Currency,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD,Name,RT_audience_score,RT_tomatometer_score,RT_audience_#reviews,RT_tomatometer_#reviews,Producer
469417,7.6,PG,2022-12-16,2022,12,4,['Action' 'Adventure' 'Fantasy'],Action,Adventure,Fantasy,['underwater' 'ocean' 'jungle' 'water' 'second part' 'trailer'],underwater,ocean,jungle,['Sam Worthington' 'Zoe Saldana' 'Sigourney Weaver'],Sam Worthington,Zoe Saldana,Sigourney Weaver,['James Cameron'],James Cameron,none,none,['James Cameron' 'Rick Jaffa' 'Amanda Silver'],James Cameron,Rick Jaffa,Amanda Silver,192,135,65,350000000,$,684075767,134100226,2320250281,Avatar: The Way of Water,8.6,7.1,48195.0,448.0,"James Cameron,Jon Landau"
161291,7.8,PG,2022-12-21,2022,12,2,['Animation' 'Adventure' 'Comedy'],Animation,Adventure,Comedy,"['puss in boots character' 'sequel' 'cat' 'wolf' 'sequel to spin off'
 'trailer']",puss in boots character,sequel,cat,['Antonio Banderas' 'Salma Hayek' 'Harvey Guillén'],Antonio Banderas,Salma Hayek,Harvey Guillén,['Joel Crawford' 'Januel Mercado'],Joel Crawford,Januel Mercado,none,['Paul Fisher' 'Tommy Swerdlow' 'Tom Wheeler'],Paul Fisher,Tommy Swerdlow,Tom Wheeler,102,56,5,90000000,$,185535345,12429515,481080374,Puss in Boots: The Last Wish,9.4,7.6,16575.0,192.0,Mark Swift
153248,7.1,18A,2022-12-23,2022,12,4,['Comedy' 'Drama' 'History'],Comedy,Drama,History,"['hollywood california' 'female full frontal nudity' '1920s'
 'film history' 'female nudity' 'trailer']",hollywood california,female full frontal nudity,1920s,['Brad Pitt' 'Margot Robbie' 'Jean Smart'],Brad Pitt,Margot Robbie,Jean Smart,['Damien Chazelle'],Damien Chazelle,none,none,['Damien Chazelle'],Damien Chazelle,none,none,189,146,43,110000000,$,15351455,3603368,63351455,Babylon,7.4,6.4,6999.0,358.0,"Marc Platt,Matthew Plouffe,Olivia Hamilton"
141943,7.5,G,2023-01-13,2023,1,4,['Comedy' 'Drama'],Comedy,Drama,none,"['remake' 'suicide attempt' 'grumpy old man' 'transgender'
 'foreign language remake' 'trailer']",remake,suicide attempt,grumpy old man,['Tom Hanks' 'Mariana Treviño' 'Rachel Keller'],Tom Hanks,Mariana Treviño,Rachel Keller,['Marc Forster'],Marc Forster,none,none,['Fredrik Backman' 'Hannes Holm' 'David Magee'],Fredrik Backman,Hannes Holm,David Magee,126,8,0,50000000,$,64267657,56257,113190218,A Man Called Otto,9.0,6.1,10436.0,207.0,"Fredrik Wikström,Rita Wilson,Tom Hanks,Gary Goetzman"
132495,6.4,14A,2023-01-06,2023,1,4,['Horror' 'Sci-Fi' 'Thriller'],Horror,Sci-Fi,Thriller,"['artificial intelligence' 'orphaned girl' 'robot sci fi'
 'aunt niece relationship' 'death of parents' 'trailer']",artificial intelligence,orphaned girl,robot sci fi,['Allison Williams' 'Violet McGraw' 'Ronny Chieng'],Allison Williams,Violet McGraw,Ronny Chieng,['Gerard Johnstone'],Gerard Johnstone,none,none,['Akela Cooper' 'James Wan'],Akela Cooper,James Wan,none,102,2,1,12000000,$,95043350,30429860,179973454,M3GAN,7.6,7.2,11348.0,315.0,"Jason Blum,James Wan,Couper Samuelson"
117713,6.6,14A,2023-01-06,2023,1,4,['Crime' 'Horror' 'Mystery'],Crime,Horror,Mystery,['murder' 'year 1830' '1830s' '19th century' 'winter' 'trailer'],murder,year 1830,1830s,['Christian Bale' 'Harry Melling' 'Simon McBurney'],Christian Bale,Harry Melling,Simon McBurney,['Scott Cooper'],Scott Cooper,none,none,['Scott Cooper' 'Louis Bayard'],Scott Cooper,Louis Bayard,none,128,2,1,unknown,unknown,unknown,unknown,unknown,The Pale Blue Eye,7.4,6.0,1898.0,189.0,"Christian Bale,Scott Cooper,John Lesher,Tyler Thompson"
291070,6.7,PG,2022-11-11,2022,11,4,['Action' 'Adventure' 'Drama'],Action,Adventure,Drama,"['sequel' 'wakanda' 'maya civilization' 'superhero'
 'marvel cinematic universe' 'trailer']",sequel,wakanda,maya civilization,['Letitia Wright' 'Lupita Nyong&apos;o' 'Danai Gurira'],Letitia Wright,Lupita Nyong&apos;o,Danai Gurira,['Ryan Coogler'],Ryan Coogler,none,none,['Ryan Coogler' 'Joe Robert Cole' 'Stan Lee'],Ryan Coogler,Joe Robert Cole,Stan Lee,161,162,48,250000000,$,453829060,181339761,859208836,Black Panther: Wakanda Forever,8.2,7.1,38989.0,447.0,"Kevin Feige,Nate Moore"
81498,6.7,14A,2022-12-02,2022,12,4,['Action' 'Comedy' 'Thriller'],Action,Comedy,Thriller,"['bloody violence' 'santa claus character' 'two word title'
 'christmas eve' 'mercenary' 'trailer']",bloody violence,santa claus character,two word title,['David Harbour' 'John Leguizamo' 'Beverly D&apos;Angelo'],David Harbour,John Leguizamo,Beverly D&apos;Angelo,['Tommy Wirkola'],Tommy Wirkola,none,none,['Pat Casey' 'Josh Miller'],Pat Casey,Josh Miller,none,112,2,1,20000000,$,50057405,13450240,76004405,Violent Night,8.2,6.5,5672.0,208.0,"Kelly McCormick,David Leitch,Guy Danella"
263466,6.2,PG,2022-10-21,2022,10,4,['Action' 'Adventure' 'Fantasy'],Action,Adventure,Fantasy,"['dc extended universe' 'based on comic' 'black adam character'
 'based on comic book' 'dc comics' 'trailer']",dc extended universe,based on comic,black adam character,['Dwayne Johnson' 'Aldis Hodge' 'Pierce Brosnan'],Dwayne Johnson,Aldis Hodge,Pierce Brosnan,['Jaume Collet-Serra'],Jaume Collet-Serra,none,none,['Adam Sztykiel' 'Rory Haines' 'Sohrab Noshirvani'],Adam Sztykiel,Rory Haines,Sohrab Noshirvani,125,8,1,195000000,$,168152111,67004323,393252111,Black Adam,8.6,5.1,45629.0,304.0,"Beau Flynn,Hiram Garcia,Dwayne Johnson,Dany Garcia"
107188,7.6,PG,2022-12-09,2022,12,4,['Animation' 'Drama' 'Family'],Animation,Drama,Family,"['magic' 'monkey' 'stop motion animation' 'pinocchio character' 'italy'
 'trailer']",magic,monkey,stop motion animation,['Ewan McGregor' 'David Bradley' 'Gregory Mann'],Ewan McGregor,David Bradley,Gregory Mann,['Guillermo del Toro' 'Mark Gustafson'],Guillermo del Toro,Mark Gustafson,none,['Guillermo del Toro' 'Patrick McHale' 'Carlo Collodi'],Guillermo del Toro,Patrick McHale,Carlo Collodi,117,126,75,unknown,unknown,unknown,unknown,unknown,Pinocchio,4.0,4.8,3206.0,181.0,"Robert Zemeckis,Derek Hogue,Andrew Miano,Chris Weitz,Paul Weitz"
