Name,IMDB Ratings,IMDB Score,Content Rating,Date Released,Genres,Genre 1,Genre 2,Genre 3,Keywords,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Production Companies,Stars,Star 1,Star 1 url,Star 2,Star 2 url,Star 3,Star 3 url,Directors,Director 1,Director 1 url,Director 2,Director 2 url,Director 3,Director 3 url,Writers,Writer 1,Writer 1 url,Writer 2,Writer 2 url,Writer 3,Writer 3 url,Runtime,Nominations,Awards,Estimated Budget,Budget Currency,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD
Avatar: The Way of Water,470098,7.6,PG,2022-12-16,"['Action', 'Adventure', 'Fantasy']",Action,Adventure,Fantasy,"['underwater', 'ocean', 'jungle', 'water', 'second part']",underwater,ocean,jungle,water,second part,"['20th Century Studios', 'TSG Entertainment', 'Lightstorm Entertainment']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0941777/', 'name': 'Sam Worthington'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0757855/', 'name': 'Zoe Saldana'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000244/', 'name': 'Sigourney Weaver'}]",Sam Worthington,https://www.imdb.com/name/nm0941777/,Zoe Saldana,https://www.imdb.com/name/nm0757855/,Sigourney Weaver,https://www.imdb.com/name/nm0000244/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000116/', 'name': 'James Cameron'}]",James Cameron,https://www.imdb.com/name/nm0000116/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0781821/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0420822/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0038663/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000116/', 'name': 'James Cameron'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0415425/', 'name': 'Rick Jaffa'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0798646/', 'name': 'Amanda Silver'}]",James Cameron,https://www.imdb.com/name/nm0000116/,Rick Jaffa,https://www.imdb.com/name/nm0415425/,Amanda Silver,https://www.imdb.com/name/nm0798646/,192,67,135,350000000.0,USD,684075767.0,134100226.0,2320250281.0
Puss in Boots: The Last Wish,161736,7.8,PG,2022-12-21,"['Animation', 'Adventure', 'Comedy']",Animation,Adventure,Comedy,"['puss in boots character', 'sequel', 'cat', 'wolf', 'sequel to spin off']",puss in boots character,sequel,cat,wolf,sequel to spin off,"['DreamWorks Animation', 'Dentsu']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000104/', 'name': 'Antonio Banderas'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000161/', 'name': 'Salma Hayek'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2957490/', 'name': 'Harvey Guillén'}]",Antonio Banderas,https://www.imdb.com/name/nm0000104/,Salma Hayek,https://www.imdb.com/name/nm0000161/,Harvey Guillén,https://www.imdb.com/name/nm2957490/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3150455/', 'name': 'Joel Crawford'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2591093/', 'name': 'Januel Mercado'}]",Joel Crawford,https://www.imdb.com/name/nm3150455/,Januel Mercado,https://www.imdb.com/name/nm2591093/,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0129164/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0169264/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0279729/', 'name': 'Paul Fisher'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0842476/', 'name': 'Tommy Swerdlow'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1117226/', 'name': 'Tom Wheeler'}]",Paul Fisher,https://www.imdb.com/name/nm0279729/,Tommy Swerdlow,https://www.imdb.com/name/nm0842476/,Tom Wheeler,https://www.imdb.com/name/nm1117226/,102,7,54,90000000.0,USD,185535345.0,12429515.0,481080374.0
Babylon,153714,7.1,18A,2022-12-23,"['Comedy', 'Drama', 'History']",Comedy,Drama,History,"['hollywood california', 'female full frontal nudity', '1920s', 'film history', 'female nudity']",hollywood california,female full frontal nudity,1920s,film history,female nudity,"['Paramount Pictures', 'C2 Motion Picture Group', 'Marc Platt Productions']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000093/', 'name': 'Brad Pitt'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3053338/', 'name': 'Margot Robbie'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0005443/', 'name': 'Jean Smart'}]",Brad Pitt,https://www.imdb.com/name/nm0000093/,Margot Robbie,https://www.imdb.com/name/nm3053338/,Jean Smart,https://www.imdb.com/name/nm0005443/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3227090/', 'name': 'Damien Chazelle'}]",Damien Chazelle,https://www.imdb.com/name/nm3227090/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0023400/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0942778/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0093810/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3227090/', 'name': 'Damien Chazelle'}]",Damien Chazelle,https://www.imdb.com/name/nm3227090/,unknown,unknown,unknown,unknown,189,43,146,110000000.0,USD,15351455.0,3603368.0,63351455.0
A Man Called Otto,142567,7.5,G,2023-01-13,"['Comedy', 'Drama']",Comedy,Drama,unknown,"['remake', 'suicide attempt', 'grumpy old man', 'transgender', 'foreign language remake']",remake,suicide attempt,grumpy old man,transgender,foreign language remake,"['2DUX²', 'Artistic Films', 'Big Indie Pictures']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000158/', 'name': 'Tom Hanks'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3901455/', 'name': 'Mariana Treviño'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm5043859/', 'name': 'Rachel Keller'}]",Tom Hanks,https://www.imdb.com/name/nm0000158/,Mariana Treviño,https://www.imdb.com/name/nm3901455/,Rachel Keller,https://www.imdb.com/name/nm5043859/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0286975/', 'name': 'Marc Forster'}]",Marc Forster,https://www.imdb.com/name/nm0286975/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0458133/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0202182/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0203259/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm7554519/', 'name': 'Fredrik Backman'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0391502/', 'name': 'Hannes Holm'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1341735/', 'name': 'David Magee'}]",Fredrik Backman,https://www.imdb.com/name/nm7554519/,Hannes Holm,https://www.imdb.com/name/nm0391502/,David Magee,https://www.imdb.com/name/nm1341735/,126,0,8,50000000.0,USD,64267657.0,56257.0,113190218.0
M3GAN,132820,6.4,14A,2023-01-06,"['Horror', 'Sci-Fi', 'Thriller']",Horror,Sci-Fi,Thriller,"['artificial intelligence', 'orphaned girl', 'robot sci fi', 'aunt niece relationship', 'death of parents']",artificial intelligence,orphaned girl,robot sci fi,aunt niece relationship,death of parents,"['Atomic Monster', 'Blumhouse Productions', 'Divide/Conquer']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4129745/', 'name': 'Allison Williams'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm8627157/', 'name': 'Violet McGraw'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm5307044/', 'name': 'Ronny Chieng'}]",Allison Williams,https://www.imdb.com/name/nm4129745/,Violet McGraw,https://www.imdb.com/name/nm8627157/,Ronny Chieng,https://www.imdb.com/name/nm5307044/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2067421/', 'name': 'Gerard Johnstone'}]",Gerard Johnstone,https://www.imdb.com/name/nm2067421/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0504531/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0098315/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0477903/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4868455/', 'name': 'Akela Cooper'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1490123/', 'name': 'James Wan'}]",Akela Cooper,https://www.imdb.com/name/nm4868455/,James Wan,https://www.imdb.com/name/nm1490123/,unknown,unknown,102,1,2,12000000.0,USD,95043350.0,30429860.0,179973454.0
The Pale Blue Eye,117971,6.6,14A,2023-01-06,"['Crime', 'Horror', 'Mystery']",Crime,Horror,Mystery,"['murder', 'year 1830', '1830s', '19th century', 'winter']",murder,year 1830,1830s,19th century,winter,"['Cross Creek Pictures', 'Grisbi Productions, Le', 'Streamline Global Group']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000288/', 'name': 'Christian Bale'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0577982/', 'name': 'Harry Melling'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0564402/', 'name': 'Simon McBurney'}]",Christian Bale,https://www.imdb.com/name/nm0000288/,Harry Melling,https://www.imdb.com/name/nm0577982/,Simon McBurney,https://www.imdb.com/name/nm0564402/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0178376/', 'name': 'Scott Cooper'}]",Scott Cooper,https://www.imdb.com/name/nm0178376/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0285648/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0307345/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0657411/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0178376/', 'name': 'Scott Cooper'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3880787/', 'name': 'Louis Bayard'}]",Scott Cooper,https://www.imdb.com/name/nm0178376/,Louis Bayard,https://www.imdb.com/name/nm3880787/,unknown,unknown,128,1,2,72000000.0,USD,,,
Black Panther: Wakanda Forever,291533,6.7,PG,2022-11-11,"['Action', 'Adventure', 'Drama']",Action,Adventure,Drama,"['sequel', 'wakanda', 'maya civilization', 'superhero', 'marvel cinematic universe']",sequel,wakanda,maya civilization,superhero,marvel cinematic universe,"['Marvel Studios', 'Walt Disney Pictures']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm4004793/', 'name': 'Letitia Wright'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2143282/', 'name': 'Lupita Nyong&apos;o'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1775091/', 'name': 'Danai Gurira'}]",Letitia Wright,https://www.imdb.com/name/nm4004793/,Lupita Nyong&apos;o,https://www.imdb.com/name/nm2143282/,Danai Gurira,https://www.imdb.com/name/nm1775091/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3363032/', 'name': 'Ryan Coogler'}]",Ryan Coogler,https://www.imdb.com/name/nm3363032/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0051941/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0008970/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3363032/', 'name': 'Ryan Coogler'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1963288/', 'name': 'Joe Robert Cole'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0498278/', 'name': 'Stan Lee'}]",Ryan Coogler,https://www.imdb.com/name/nm3363032/,Joe Robert Cole,https://www.imdb.com/name/nm1963288/,Stan Lee,https://www.imdb.com/name/nm0498278/,161,48,162,250000000.0,USD,453829060.0,181339761.0,859208836.0
Violent Night,83061,6.7,14A,2022-12-02,"['Action', 'Comedy', 'Thriller']",Action,Comedy,Thriller,"['bloody violence', 'santa claus character', 'two word title', 'christmas eve', 'mercenary']",bloody violence,santa claus character,two word title,christmas eve,mercenary,"['87North', 'Québec Production Services Tax Credit', 'Universal Pictures']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1092086/', 'name': 'David Harbour'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000491/', 'name': 'John Leguizamo'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000350/', 'name': 'Beverly D&apos;Angelo'}]",David Harbour,https://www.imdb.com/name/nm1092086/,John Leguizamo,https://www.imdb.com/name/nm0000491/,Beverly D&apos;Angelo,https://www.imdb.com/name/nm0000350/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2482088/', 'name': 'Tommy Wirkola'}]",Tommy Wirkola,https://www.imdb.com/name/nm2482088/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0743169/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0191414/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0005073/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1352459/', 'name': 'Pat Casey'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1351254/', 'name': 'Josh Miller'}]",Pat Casey,https://www.imdb.com/name/nm1352459/,Josh Miller,https://www.imdb.com/name/nm1351254/,unknown,unknown,112,1,2,20000000.0,USD,50057405.0,13450240.0,76004405.0
Black Adam,263775,6.2,PG,2022-10-21,"['Action', 'Adventure', 'Fantasy']",Action,Adventure,Fantasy,"['dc extended universe', 'based on comic', 'black adam character', 'based on comic book', 'dc comics']",dc extended universe,based on comic,black adam character,based on comic book,dc comics,"['Warner Bros.', 'New Line Cinema', 'DC Entertainment']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0425005/', 'name': 'Dwayne Johnson'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0388038/', 'name': 'Aldis Hodge'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000112/', 'name': 'Pierce Brosnan'}]",Dwayne Johnson,https://www.imdb.com/name/nm0425005/,Aldis Hodge,https://www.imdb.com/name/nm0388038/,Pierce Brosnan,https://www.imdb.com/name/nm0000112/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1429471/', 'name': 'Jaume Collet-Serra'}]",Jaume Collet-Serra,https://www.imdb.com/name/nm1429471/,unknown,unknown,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0002663/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0046718/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0123927/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm1186373/', 'name': 'Adam Sztykiel'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3239033/', 'name': 'Rory Haines'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm2126954/', 'name': 'Sohrab Noshirvani'}]",Adam Sztykiel,https://www.imdb.com/name/nm1186373/,Rory Haines,https://www.imdb.com/name/nm3239033/,Sohrab Noshirvani,https://www.imdb.com/name/nm2126954/,125,1,8,195000000.0,USD,168152111.0,67004323.0,393252111.0
Pinocchio,107349,7.6,PG,2022-12-09,"['Animation', 'Drama', 'Family']",Animation,Drama,Family,"['magic', 'monkey', 'stop motion animation', 'pinocchio character', 'italy']",magic,monkey,stop motion animation,pinocchio character,italy,"['Netflix Animation', 'The Jim Henson Company', 'ShadowMachine']","[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0000191/', 'name': 'Ewan McGregor'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0103195/', 'name': 'David Bradley'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm9640481/', 'name': 'Gregory Mann'}]",Ewan McGregor,https://www.imdb.com/name/nm0000191/,David Bradley,https://www.imdb.com/name/nm0103195/,Gregory Mann,https://www.imdb.com/name/nm9640481/,"[{'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0868219/', 'name': 'Guillermo del Toro'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0348993/', 'name': 'Mark Gustafson'}]",Guillermo del Toro,https://www.imdb.com/name/nm0868219/,Mark Gustafson,https://www.imdb.com/name/nm0348993/,unknown,unknown,"[{'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0743375/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0095015/'}, {'@type': 'Organization', 'url': 'https://www.imdb.com/company/co0043801/'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0868219/', 'name': 'Guillermo del Toro'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm3239034/', 'name': 'Patrick McHale'}, {'@type': 'Person', 'url': 'https://www.imdb.com/name/nm0172830/', 'name': 'Carlo Collodi'}]",Guillermo del Toro,https://www.imdb.com/name/nm0868219/,Patrick McHale,https://www.imdb.com/name/nm3239034/,Carlo Collodi,https://www.imdb.com/name/nm0172830/,117,75,128,35000000.0,USD,,,109846.0
