Movie Count,Tot_Profit,Avg_Profit,Max_Profit,Min_Profit,Tot_Rev,Avg_Rev,Max_Rev,Min_Rev,Tot_Bugd,Avg_Budg,Max_Budg,Min_Budg,Avg_ROI,Max_ROI,Min_ROI,Avg_RT_Ascore,Max_RT_Ascore,Min_RT_Ascore
30,864546703.0,28818223.433333334,131576461.0,-64925809.0,2594546703.0,86484890.1,281576461.0,4243756.0,1730000000.0,57666666.666666664,150000000.0,12000000.0,0.8948304208991043,5.572375666666667,-0.8115726125,7.206666666666666,8.8,5.8
28,239404283.0,8550152.964285715,87809770.0,-36694030.0,1077004283.0,38464438.678571425,148809770.0,1872994.0,837600000.0,29914285.714285713,61000000.0,8000000.0,0.4078102654881297,2.171348882352941,-0.9375668666666667,7.278571428571428,8.4,5.6
27,250456659.0,9276172.555555556,87809770.0,-36694030.0,1050056659.0,38890987.37037037,148809770.0,1872994.0,799600000.0,29614814.814814813,61000000.0,8000000.0,0.4336866456913938,2.171348882352941,-0.9375668666666667,7.244444444444444,8.4,5.6
26,1604151627.0,64166065.08,548732821.0,-125697885.0,4475151627.0,179006065.08,718732821.0,30577122.0,2871000000.0,114840000.0,300000000.0,13000000.0,1.6144421513988667,17.058498307692307,-0.6482118115942029,7.623076923076923,9.6,6.2
26,1910995484.0,61645015.61290322,171696665.0,-1456527.0,2410110484.0,77745499.48387097,176196665.0,11977130.0,499115000.0,16100483.870967742,62000000.0,15000.0,241.15125124930105,7193.587333333333,-0.036413175,7.15,9.0,5.6
25,547340775.0,23797425.0,133243005.0,-12233342.0,1340340775.0,58275685.86956522,171243005.0,13235319.0,793000000.0,34478260.86956522,100000000.0,2000000.0,1.2389021905928372,5.7698545,-0.40777806666666666,7.655999999999999,8.4,6.2
24,882539279.0,42025679.952380955,163007020.0,-129812397.0,2751539279.0,131025679.95238096,353007020.0,38252284.0,1869000000.0,89000000.0,250000000.0,9000000.0,1.162762516673008,5.333955666666666,-0.6657046,7.2250000000000005,9.0,6.0
24,3737010768.0,155708782.0,502373000.0,-35129766.0,8539010768.0,355792115.3333333,858373000.0,134806913.0,4802000000.0,200083333.33333334,356000000.0,130000000.0,0.7335662349454312,2.50213283,-0.17564883,7.933333333333333,9.0,5.4
22,151606538.0,6891206.2727272725,202111870.0,-86831317.0,2366606538.0,107573024.45454545,402111870.0,12050299.0,2215000000.0,100681818.18181819,217000000.0,25000000.0,0.045990820785148316,1.87942512,-0.7322155777777778,6.954545454545454,8.2,5.4
22,643679844.0,29258174.727272727,137715005.0,-74979242.0,1973679844.0,89712720.18181819,260715005.0,18622031.0,1330000000.0,60454545.45454545,123000000.0,11000000.0,0.7404631441912355,5.347394,-0.74979242,7.118181818181816,8.6,5.8
21,720387601.0,34304171.47619048,426641279.0,-84516230.0,2081587601.0,99123219.09523809,437141279.0,13756082.0,1361200000.0,64819047.61904762,175000000.0,10500000.0,2.6384634257999338,40.63250276190476,-0.6266402666666666,7.876190476190477,9.2,6.8
20,262556685.0,12502699.285714285,164406268.0,-70352052.0,1567056685.0,74621746.90476191,183637894.0,8106986.0,1304500000.0,62119047.61904762,135000000.0,4500000.0,1.1597318107235481,11.743304857142856,-0.8131503875,7.1428571428571415,8.8,5.6
19,-206934412.0,-10891284.842105264,120433663.0,-89146055.0,1211065588.0,63740294.10526316,228433663.0,1714221.0,1418000000.0,74631578.94736843,140000000.0,12000000.0,-0.1360535836423145,1.1151265092592593,-0.89146055,7.094736842105262,8.6,4.8
